client_id,target
test_Client_0,0.02275204255953885
test_Client_1,0.1375587613433723
test_Client_10,0.025137405554254796
test_Client_100,0.01290394457430571
test_Client_1000,0.050264258711311495
test_Client_10000,0.0370968899951159
test_Client_10001,0.013294473978567015
test_Client_10002,0.3061402421666307
test_Client_10003,0.012024436755190833
test_Client_10004,0.02535998233227018
test_Client_10005,0.010234916415449411
test_Client_10006,0.003944110687742871
test_Client_10007,0.166900836730417
test_Client_10008,0.024153474578424327
test_Client_10009,0.11234298325657532
test_Client_1001,0.18437752890677628
test_Client_10010,0.020320738586754223
test_Client_10011,0.30684851480846626
test_Client_10012,0.01270675743733011
test_Client_10013,0.013528530104522252
test_Client_10014,0.009552861298077054
test_Client_10015,0.06937328868232338
test_Client_10016,0.03905832733134629
test_Client_10017,0.025364179633702858
test_Client_10018,0.020174951315955238
test_Client_10019,0.02288515304222646
test_Client_1002,0.018557543698313965
test_Client_10020,0.008920366327924213
test_Client_10021,0.07055399903695075
test_Client_10022,0.0688792858148107
test_Client_10023,0.028752081102340107
test_Client_10024,0.023013882121601312
test_Client_10025,0.021470121257877475
test_Client_10026,0.0027011537396623535
test_Client_10027,0.05201389282501675
test_Client_10028,0.12166345023239458
test_Client_10029,0.35464469510531615
test_Client_1003,0.011989207845590991
test_Client_10030,0.018549834312410262
test_Client_10031,0.026619295285079968
test_Client_10032,0.02269223204005639
test_Client_10033,0.012582341231183037
test_Client_10034,0.020379185305900282
test_Client_10035,0.03767284982614812
test_Client_10036,0.019536957288477767
test_Client_10037,0.062511289071791
test_Client_10038,0.014296824104523298
test_Client_10039,0.007003002353161408
test_Client_1004,0.36738526227412394
test_Client_10040,0.029593616401395177
test_Client_10041,0.02381255937568709
test_Client_10042,0.12185784901307503
test_Client_10043,0.01915345882779511
test_Client_10044,0.016428909014197943
test_Client_10045,0.021781999783448722
test_Client_10046,0.028281687162721555
test_Client_10047,0.10852080310838098
test_Client_10048,0.031157935611498922
test_Client_10049,0.028677613638033412
test_Client_1005,0.004370212315960111
test_Client_10050,0.0030199131764798446
test_Client_10051,0.024647547324943883
test_Client_10052,0.01313131063994044
test_Client_10053,0.1274065970276151
test_Client_10054,0.22778942955433287
test_Client_10055,0.3566470067318577
test_Client_10056,0.1634356976764702
test_Client_10057,0.03548949633393524
test_Client_10058,0.006995166155424245
test_Client_10059,0.010737918515277743
test_Client_1006,0.18500562821150426
test_Client_10060,0.03913719650566225
test_Client_10061,0.00858561964778419
test_Client_10062,0.021707409609395253
test_Client_10063,0.0552526658311188
test_Client_10064,0.01847733101780705
test_Client_10065,0.01913711968654673
test_Client_10066,0.04732946173335637
test_Client_10067,0.008045013607393939
test_Client_10068,0.003224984650166047
